epoch,dice_coefficient,loss,lr,val_dice_coefficient,val_loss
0,0.02349206432700157,0.9765093922615051,0.001,0.029310140758752823,0.9706913232803345
1,0.03539123758673668,0.9646103382110596,0.001,0.033896446228027344,0.9661051034927368
2,0.04117768257856369,0.958824098110199,0.001,0.033502981066703796,0.9664985537528992
3,0.03978126496076584,0.9602205753326416,0.001,0.029146894812583923,0.9708548784255981
4,0.03755825012922287,0.9624437093734741,0.001,0.03134404122829437,0.9686577916145325
5,0.04741620272397995,0.952585756778717,0.001,0.03381357342004776,0.9661883115768433
6,0.053835488855838776,0.9461666345596313,0.001,0.0334751270711422,0.9665268659591675
7,0.03812813386321068,0.9618740677833557,0.001,0.02632785029709339,0.9736744165420532
8,0.05049879476428032,0.9495035409927368,0.001,0.028954125940799713,0.9710481762886047
9,0.05749986320734024,0.9425026178359985,0.001,0.03332974389195442,0.9666725397109985
10,0.07183492928743362,0.9281676411628723,0.001,0.026338063180446625,0.9736641645431519
11,0.055257439613342285,0.9447454810142517,0.001,0.03379606828093529,0.9662060737609863
12,0.06795431673526764,0.9320485591888428,0.001,0.033376824110746384,0.9666253924369812
13,0.07366940379142761,0.926333487033844,0.001,0.028884943574666977,0.9711174964904785
14,0.07293189316987991,0.9270710945129395,0.001,0.032655153423547745,0.9673476219177246
15,0.07695917785167694,0.923043966293335,0.001,0.030501220375299454,0.9695018529891968
16,0.08272943645715714,0.9172737002372742,0.001,0.03157004341483116,0.9684334993362427
17,0.06839921325445175,0.9316040277481079,0.001,0.031664736568927765,0.9683393239974976
18,0.08564303815364838,0.9143602848052979,0.001,0.030691372230648994,0.9693134427070618
19,0.08096326142549515,0.9190402030944824,0.001,0.029334956780076027,0.970670223236084
20,0.09362621605396271,0.9063771963119507,0.001,0.030012106522917747,0.9699934124946594
21,0.08856476843357086,0.9114387631416321,0.001,0.03269091248512268,0.9673110246658325
22,0.09207084774971008,0.9079328775405884,0.001,0.02698609046638012,0.9730156064033508
23,0.09789343178272247,0.9021104574203491,0.001,0.032649893313646317,0.9673517942428589
24,0.09591019153594971,0.9040938019752502,0.001,0.02683364972472191,0.9731680154800415
25,0.09424740821123123,0.9057567715644836,0.001,0.029258262366056442,0.9707484245300293
26,0.10627764463424683,0.893726646900177,0.001,0.030216313898563385,0.969789981842041
27,0.10885617882013321,0.8911482095718384,0.001,0.029091890901327133,0.9709148406982422
28,0.10940609127283096,0.8905985355377197,0.001,0.028647227212786674,0.9713605642318726
29,0.10372839868068695,0.8962762355804443,0.001,0.02744574099779129,0.9725631475448608
30,0.11331377178430557,0.8866910338401794,0.001,0.02424503117799759,0.9757648706436157
31,0.12787647545337677,0.8721283674240112,0.001,0.025575602427124977,0.9744343757629395
32,0.11894959211349487,0.8810557723045349,0.001,0.02391645684838295,0.9760938882827759
33,0.11863412708044052,0.8813716173171997,0.001,0.025516018271446228,0.9744947552680969
34,0.1425384283065796,0.8574674129486084,0.001,0.026162518188357353,0.9738482236862183
35,0.1742422878742218,0.8257642984390259,0.001,0.02911706082522869,0.9708899259567261
36,0.17298880219459534,0.8270184397697449,0.001,0.030604200437664986,0.9694000482559204
37,0.17167358100414276,0.8283344507217407,0.001,0.030500438064336777,0.9695025682449341
38,0.18992005288600922,0.8100885152816772,0.001,0.033117856830358505,0.9668849110603333
39,0.23671023547649384,0.7632982730865479,0.001,0.030966756865382195,0.9690359830856323
40,0.24035191535949707,0.7596572041511536,0.001,0.03130737319588661,0.9686967730522156
41,0.24868181347846985,0.7513282895088196,0.001,0.02788228541612625,0.9721260070800781
42,0.24859671294689178,0.7514130473136902,0.001,0.02285980060696602,0.9771544337272644
43,0.27970194816589355,0.7203090190887451,0.001,0.01927541382610798,0.9807431101799011
44,0.29078635573387146,0.7092245221138,0.001,0.01802106946706772,0.9819996953010559
45,0.27511096000671387,0.7249017953872681,0.001,0.016108982264995575,0.9839136004447937
46,0.27501732110977173,0.7249965071678162,0.001,0.01465842965990305,0.9853662252426147
47,0.3003232479095459,0.6996911764144897,0.001,0.013958548195660114,0.986066460609436
48,0.38427072763442993,0.6157413125038147,0.001,0.012861673720180988,0.9871647953987122
49,0.3718184530735016,0.6281948685646057,0.001,0.010750160552561283,0.9892798662185669
50,0.3965621590614319,0.6034507155418396,0.001,0.010004894807934761,0.9900282621383667
51,0.38485509157180786,0.6151601672172546,0.001,0.008234147913753986,0.9917985796928406
